,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,✅ 대중소카테고리 분류,,,,,,,,,,✅ [스포츠] 대카테고리 세부 분류,,,,,,✅ [스포츠] 대카테고리 세부 분류,,,,,✅ [스포츠] 채널 발굴,,,✅ [스포츠] 새로운 카테고리 발굴,,,✅ [환경] 새로운 카테고리 발굴 - Environment,,,,
,대카테고리,중카테고리,소카테고리,Main Category (EN),Sub Category (EN),Micro Topic (EN),主分类(中文),中分类(中文),小主题(中文),,중카테고리,소카테고리,예시 콘텐츠,영어,중국어,,콘텐츠 주제,예시 콘텐츠 설명,영어 키워드,중국어 키워드,,키워드,링크,,키워드,링크,,중카테고리,소카테고리,영어 키워드,중국어 키워드,
,게임,모바일 게임,브롤스타즈,Game,Mobile Games,Brawl Stars,游戏,手机游戏,荒野乱斗,,구기 스포츠,축구,"손흥민 원더골, PK 실패 모음",Soccer,足球,,더블 쿠션 묘기,벽을 두 번 맞고 들어가는 고난도 샷 영상. 슬로우 모션으로 궤적 강조,"double cushion shot, trick shot billiards","双库球技巧, 台球花式入袋",,double cushion shot,Billiards Trick Shots Roberto Rojas Miguel Torres Semih Saygıner - YouTube,,behind the back shot,https://www.youtube.com/@TtblDe/shorts,,기후변화,지구 온난화,"global warming, climate crisis","全球变暖, 气候危机",
,게임,콘솔/PC 게임,배틀그라운드,Game,Console/PC Games,PUBG,游戏,主机/PC游戏,绝地求生,,구기 스포츠,야구,"홈런 모음, 투수 리액션",Baseball,棒球,,3쿠션 예술샷,"공이 3번 쿠션을 맞고 포켓으로 들어가는 회전샷, 궤적 강조","3 cushion shot, carom billiards art","三库球走位, 花式三库进球",,,5 Tips that INSTANTLY Boosted my AIMING - YouTube,,,,,기후변화,빙하 붕괴,"glacier melting, ice collapse","冰川融化, 冰山崩塌",
,게임,게임 공략,무기별 전술,Game,Game Strategy,Weapon Tactics,游戏,游戏攻略,武器战术,,구기 스포츠,농구,"덩크슛, 3점슛 대결",Basketball,篮球,,비하인드 백 샷,"큐를 등 뒤로 넘겨 공을 치는 묘기, 짧지만 임팩트 있는 장면","behind the back shot, fancy pool move","背后击球, 花式台球动作",,,How To Play Snooker IN 5 MINUTES and BETTER Snooker IN 10 MINUTES - YouTube,,,,,기후변화,폭염 & 산불,"extreme heat, wildfires","极端高温, 森林火灾",
,게임,게임 리뷰,신작 리뷰,Game,Game Reviews,New Game Review,游戏,游戏测评,新作评价,,구기 스포츠,족구/놀구,"학교 체육대회, 놀구 레전드",Jokgu / Sepak Takraw,踢毽子 / 脚球,,정지 상태에서 스핀 먹이기,멈춘 공을 회전으로 움직이게 만드는 고급 기술,"spin shot, masse shot billiards","台球旋转球, 马赛球",,,,,,,,기후변화,해수면 상승,"sea level rise, climate impact","海平面上升, 气候影响",
,게임,게임 문화,게임 밈,Game,Game Culture,Game Memes,游戏,游戏文化,游戏梗,,구기 스포츠,배구,"스파이크 슬로모션, 블로킹 모음",Volleyball,排球,,당구 대결 클러치샷,마지막 순간 포켓에 성공하는 긴장감 넘치는 장면,"clutch shot pool, final 8 ball shot","决胜击球, 最后一杆",,,,,,,,재활용/순환,플라스틱 재활용,"plastic recycling, ocean plastic","塑料回收, 海洋塑料",
,과학기술,우주/천체,블랙홀,Science & Tech,Astronomy,Black Hole,科学技术,天文,黑洞,,구기 스포츠,핸드볼,"하이라이트, 초근접 슛",Handball,手球,,장애물 당구샷,사이로 넣거나 피해서 넣는 묘기. 시각적 요소 강조,"obstacle shot billiards, trick challenge","障碍花式台球, 台球挑战",,,,,,,,재활용/순환,음식물 쓰레기 문제,"food waste, compost solution","食物浪费, 堆肥方案",
,과학기술,AI/로봇,GPT,Science & Tech,AI/Robotics,GPT,科学技术,人工智能/机器人,GPT,,라켓 스포츠,테니스,"윔블던 명장면, 서브 대결",Tennis,网球,,큐대 트릭샷,큐대를 세우거나 굴려서 공에 힘을 전달하는 묘기,"cue stick trick, jump spin billiards","台球杆特技, 台球跳球旋转",,,,,,,,재활용/순환,제로 웨이스트 생활,"zero waste life, sustainable living","零浪费生活, 可持续生活",
,과학기술,첨단 기술,양자컴퓨터,Science & Tech,Advanced Tech,Quantum Computer,科学技术,先进技术,量子计算机,,라켓 스포츠,배드민턴,"셔틀콕 슬로우모션, 스매시",Badminton,羽毛球,,해설+슬로우 영상,샷의 원리 해설 + 슬로우모션 편집,"billiards breakdown, slow motion trick shot","台球慢动作解析, 花式击球讲解",,,,,,,,재활용/순환,리필 스테이션,"refill station, packaging-free","补充站, 无包装商店",
,과학기술,생활 속 과학,정전기 실험,Science & Tech,Everyday Science,Static Electricity,科学技术,日常科学,静电实验,,라켓 스포츠,탁구,빠른 랠리 대결,Table Tennis,乒乓球,,,,,,,,,,,,,생태계 보호,멸종위기 동물,"endangered species, wildlife protection","濒危动物, 野生动物保护",
,과학기술,IT 기술,자율주행,Science & Tech,IT/Software,Self-driving Car,科学技术,信息技术,自动驾驶,,라켓 스포츠,스쿼시,벽 반사 대결,Squash,壁球,,,,,,,,,,,,,생태계 보호,바다거북 보호,save sea turtles,拯救海龟,
,교육,학습 과목,영어 단어 암기,Education,Subjects,English Vocabulary,教育,学习科目,英语单词记忆,,격투기,복싱,"KO 모음, 풋워크 해설",Boxing,拳击,,,,,,,,,,,,,생태계 보호,산호초 백화,"coral bleaching, ocean warming","珊瑚白化, 海洋变暖",
,교육,입시/공부법,공부 루틴,Education,Study Tips,Study Routine,教育,备考/学习方法,学习日常,,격투기,MMA/UFC,"하이라이트, 논란 판정",MMA / UFC,综合格斗,,,,,,,,,,,,,생태계 보호,야생동물 카메라,"wildlife cam, nature in 30s","野生动物摄像头, 大自然瞬间",
,교육,자격증/스킬,컴활 자격증,Education,Certifications,Computer Certificate,教育,资格证/技能,计算机资格证,,격투기,유도,"한판 승부, 기술 슬로우모션",Judo,柔道,,,,,,,,,,,,,탄소중립/에너지,전기차 vs 내연기관,electric car vs gas car,电动车 vs 汽油车,
,교육,외국어 학습,중국어 회화,Education,Languages,Chinese Conversation,教育,外语学习,中文会话,,격투기,태권도,"품새 대회, 발차기 대결",Taekwondo,跆拳道,,,,,,,,,,,,,탄소중립/에너지,태양광/풍력 에너지,"solar energy, wind turbine","太阳能, 风能",
,교육,지식 요약,1분 개념 정리,Education,Knowledge Summary,1-minute Concept,教育,知识速递,一分钟概念,,격투기,검도,"죽도 소리, 경기 리플레이",Kendo,剑道,,,,,,,,,,,,,탄소중립/에너지,개인 탄소 발자국,carbon footprint lifestyle,碳足迹生活方式,
,노하우/스타일,DIY,목공,How-to/Style,DIY,Woodworking,生活技巧/风格,自己动手,木工,,표현 스포츠,발레,"무용수 발끝 영상, 공연 리허설",Ballet,芭蕾舞,,,,,,,,,,,,,탄소중립/에너지,친환경 건축,green architecture,绿色建筑,
,노하우/스타일,인테리어,가구 리폼,How-to/Style,Interior,Furniture Makeover,生活技巧/风格,室内装饰,家具改造,,표현 스포츠,리듬체조,"리본 묘기, 올림픽 장면",Rhythmic Gymnastics,艺术体操,,,,,,,,,,,,,환경 실험/교육,대기오염 실험,air pollution in a jar,空气污染实验,
,노하우/스타일,뷰티,메이크업 팁,How-to/Style,Beauty,Makeup Tips,生活技巧/风格,美容,化妆技巧,,표현 스포츠,피겨스케이팅,"회전 슬로우, 점프 해설",Figure Skating,花样滑冰,,,,,,,,,,,,,환경 실험/교육,플라스틱 분해 시간,plastic decay timeline,塑料分解时间,
,노하우/스타일,스타일링,남자 코디,How-to/Style,Styling,Men's Fashion,生活技巧/风格,穿搭,男士穿搭,,정밀 스포츠,양궁,"관통 장면, 집중력 테스트",Archery,射箭,,,,,,,,,,,,,환경 실험/교육,생분해 vs 일반 쓰레기,biodegradable vs regular,可降解 vs 普通垃圾,
,노하우/스타일,정리수납,옷 정리법,How-to/Style,Organization,Clothing Organization,生活技巧/风格,收纳整理,衣物整理,,정밀 스포츠,사격,올림픽 10점 총 쏘기,Shooting,射击,,,,,,,,,,,,,환경 실험/교육,학생용 친환경 실험,eco classroom science,环保课堂实验,
,뉴스/정치,실시간 뉴스,사건사고,News/Politics,Breaking News,Accidents,新闻/政治,实时新闻,事故事件,,정밀 스포츠,당구,"더블 쿠션, 3쿠션 묘기",Billiards / Carom,台球 / 三库球,,,,,,,,,,,,,해양 환경,해양 플라스틱,ocean plastic pollution,海洋塑料污染,
,뉴스/정치,정치 이슈,국회 이슈,News/Politics,Political Issues,Parliament News,新闻/政治,政治问题,国会话题,,정밀 스포츠,볼링,"스트라이크 콤보, 백업볼",Bowling,保龄球,,,,,,,,,,,,,해양 환경,유령 어망 문제,"ghost net, fishing gear waste","鬼网, 渔具垃圾",
,뉴스/정치,국제 뉴스,우크라이나 전쟁,News/Politics,International News,Ukraine War,新闻/政治,国际新闻,乌克兰战争,,익스트림 스포츠,BMX,"묘기 점프, 공중 회전",BMX / Freestyle,极限单车,,,,,,,,,,,,,해양 환경,마이크로플라스틱,microplastic in seafood,海鲜微塑料,
,뉴스/정치,경제 브리핑,환율,News/Politics,Economy Briefing,Exchange Rate,新闻/政治,经济速报,汇率,,익스트림 스포츠,스케이트보드,"트릭 대결, X게임 하이라이트",Skateboarding,滑板,,,,,,,,,,,,,해양 환경,바다 정화 캠페인,ocean cleanup volunteer,海洋清理志愿者,
,뉴스/정치,해설 콘텐츠,조선 vs 한겨레,News/Politics,Analysis Content,Media Comparison,新闻/政治,新闻解读,媒体比较,,익스트림 스포츠,파쿠르,"옥상 점프, 장애물 통과",Parkour,跑酷,,,,,,,,,,,,,,,,,
,비영리/사회운동,환경,기후위기,Nonprofits & Activism,Environment,Climate Crisis,非营利/社会运动,环境,气候危机,,익스트림 스포츠,클라이밍,"암벽 등반, 손가락만으로",Rock Climbing,攀岩,,,,,,,,,,,,,,,,,
,비영리/사회운동,동물권,동물실험 반대,Nonprofits & Activism,Animal Rights,Anti Animal Testing,非营利/社会运动,动物权利,反对动物实验,,체력 스포츠,철인 3종,수영+사이클+마라톤,Triathlon,铁人三项,,,,,,,,,,,,,,,,,
,비영리/사회운동,젠더,젠더 갈등,Nonprofits & Activism,Gender,Gender Conflict,非营利/社会运动,性别,性别冲突,,체력 스포츠,마라톤,마라토너의 페이스,Marathon,马拉松,,,,,,,,,,,,,,,,,
,비영리/사회운동,빈곤/노숙,도시빈민,Nonprofits & Activism,Poverty/Homelessness,Urban Poor,非营利/社会运动,贫困/无家可归,城市贫民,,체력 스포츠,줄넘기,"고난이도 묘기, 단체 줄넘기",Jump Rope,跳绳,,,,,,,,,,,,,,,,,
,비영리/사회운동,기부/활동,자원봉사 브이로그,Nonprofits & Activism,Volunteering,Volunteer Vlog,非营利/社会运动,志愿活动,志愿者日志,,체력 스포츠,크로스핏,"WOD 루틴, 초고강도 트레이닝",CrossFit,健身挑战,,,,,,,,,,,,,,,,,
,스포츠,인기 스포츠,축구 명장면,Sports,Popular Sports,Soccer Highlights,体育,热门运动,足球精彩瞬间,,,,,,,,,,,,,,,,,,,,,,,
,스포츠,운동법,홈트,Sports,Fitness Tips,Home Training,体育,锻炼方法,家庭健身,,,,,,,,,,,,,,,,,,,,,,,
,스포츠,레전드 하이라이트,손흥민 골,Sports,Legend Highlights,Son Heungmin Goal,体育,传奇高光,孙兴慜进球,,,,,,,,,,,,,,,,,,,,,,,
,스포츠,스포츠 장비,축구화 리뷰,Sports,Gear Review,Soccer Shoes Review,体育,运动装备,足球鞋测评,,,,,,,,,,,,,,,,,,,,,,,
,스포츠,챌린지,100m 도전,Sports,Challenges,100m Sprint Challenge,体育,挑战,百米挑战,,,,,,,,,,,,,,,,,,,,,,,
,애완동물/동물,반려동물 일상,고양이 낮잠,Pets & Animals,Pet Daily Life,Cat Nap,宠物/动物,宠物日常,猫咪小憩,,,,,,,,,,,,,,,,,,,,,,,
,애완동물/동물,훈련/교육,배변 훈련,Pets & Animals,Training,Toilet Training,宠物/动物,训练/教育,排便训练,,,,,,,,,,,,,,,,,,,,,,,
,애완동물/동물,구조 이야기,유기견 구조,Pets & Animals,Rescue Story,Rescue Abandoned Dog,宠物/动物,救助故事,流浪狗救助,,,,,,,,,,,,,,,,,,,,,,,
,애완동물/동물,동물 정보,고양이 품종,Pets & Animals,Animal Info,Cat Breeds,宠物/动物,动物知识,猫咪品种,,,,,,,,,,,,,,,,,,,,,,,
,애완동물/동물,동물 리액션,놀란 강아지,Pets & Animals,Animal Reactions,Surprised Dog,宠物/动物,动物反应,惊讶的狗,,,,,,,,,,,,,,,,,,,,,,,
,엔터테인먼트,예능 클립,무한도전 명장면,Entertainment,Variety Clips,Infinite Challenge Moments,娱乐,综艺片段,无限挑战名场面,,,,,,,,,,,,,,,,,,,,,,,
,엔터테인먼트,리액션 콘텐츠,팬 리액션,Entertainment,Reactions,Fan Reactions,娱乐,反应视频,粉丝反应,,,,,,,,,,,,,,,,,,,,,,,
,엔터테인먼트,스타 뉴스,블랙핑크 컴백,Entertainment,Star News,BLACKPINK Comeback,娱乐,明星新闻,BLACKPINK回归,,,,,,,,,,,,,,,,,,,,,,,
,엔터테인먼트,연예계 썰,열애설,Entertainment,Celebrity Rumors,Dating Rumors,娱乐,娱乐圈八卦,恋爱传闻,,,,,,,,,,,,,,,,,,,,,,,
,엔터테인먼트,방송 비하인드,촬영장 비화,Entertainment,Behind the Scenes,Filming Story,娱乐,幕后花絮,拍摄秘闻,,,,,,,,,,,,,,,,,,,,,,,
,여행/이벤트,국내 여행,전주 한옥마을,Travel & Events,Domestic Travel,Jeonju Hanok Village,旅行/活动,国内旅行,全州韩屋村,,,,,,,,,,,,,,,,,,,,,,,
,여행/이벤트,해외 명소,파리 에펠탑,Travel & Events,Foreign Attractions,Eiffel Tower,旅行/活动,国外景点,埃菲尔铁塔,,,,,,,,,,,,,,,,,,,,,,,
,여행/이벤트,맛집 투어,시장 먹방,Travel & Events,Food Tour,Market Food Vlog,旅行/活动,美食之旅,市场吃播,,,,,,,,,,,,,,,,,,,,,,,
,여행/이벤트,여행 브이로그,혼자 여행 브이로그,Travel & Events,Travel Vlog,Solo Travel Vlog,旅行/活动,旅游Vlog,一个人旅行Vlog,,,,,,,,,,,,,,,,,,,,,,,
,여행/이벤트,축제,불꽃축제,Travel & Events,Festival,Fireworks Festival,旅行/活动,节庆活动,烟火节,,,,,,,,,,,,,,,,,,,,,,,
,영화/애니메이션,영화 요약,3분 요약,Film & Animation,Movie Recap,3-Min Recap,电影/动画,电影简介,三分钟回顾,,,,,,,,,,,,,,,,,,,,,,,
,영화/애니메이션,캐릭터 분석,마블 히어로,Film & Animation,Character Analysis,Marvel Heroes,电影/动画,角色分析,漫威英雄,,,,,,,,,,,,,,,,,,,,,,,
,영화/애니메이션,명장면 리뷰,킬링씬 모음,Film & Animation,Iconic Scenes,Killing Scenes,电影/动画,经典片段,高能名场面,,,,,,,,,,,,,,,,,,,,,,,
,영화/애니메이션,애니 추천,지브리 추천,Film & Animation,Anime Picks,Studio Ghibli Picks,电影/动画,动画推荐,吉卜力推荐,,,,,,,,,,,,,,,,,,,,,,,
,영화/애니메이션,영화 패러디,상황극,Film & Animation,Movie Parody,Situational Skit,电影/动画,电影恶搞,情景剧,,,,,,,,,,,,,,,,,,,,,,,
,음악,커버/연주,보컬 커버,Music,Covers/Performance,Vocal Cover,音乐,翻唱/演奏,人声翻唱,,,,,,,,,,,,,,,,,,,,,,,
,음악,음악 해설,코드 분석,Music,Music Analysis,Chord Breakdown,音乐,音乐解析,和弦分析,,,,,,,,,,,,,,,,,,,,,,,
,음악,신곡 리뷰,음원 순위,Music,New Releases,Chart Ranking,音乐,新歌推荐,音源榜单,,,,,,,,,,,,,,,,,,,,,,,
,음악,밈/편곡,밈송 리믹스,Music,Meme Songs,Remix Meme Songs,音乐,恶搞改编,梗歌混音,,,,,,,,,,,,,,,,,,,,,,,
,음악,음악사,비틀즈 이야기,Music,Music History,The Beatles,音乐,音乐史,披头士故事,,,,,,,,,,,,,,,,,,,,,,,
,인물/블로그,브이로그,일상 루틴,People & Blogs,Vlog,Daily Routine,人物/博客,视频日志,日常作息,,,,,,,,,,,,,,,,,,,,,,,
,인물/블로그,자기계발,습관 만들기,People & Blogs,Self-Development,Habit Building,人物/博客,自我提升,习惯养成,,,,,,,,,,,,,,,,,,,,,,,
,인물/블로그,창업/커리어,1인기업 이야기,People & Blogs,Startup/Career,One-Person Startup,人物/博客,创业/职业,一人创业,,,,,,,,,,,,,,,,,,,,,,,
,인물/블로그,인터뷰,10대 CEO,People & Blogs,Interview,Teen CEO,人物/博客,访谈,少年CEO,,,,,,,,,,,,,,,,,,,,,,,
,인물/블로그,감성 다큐,하루密착,People & Blogs,Emotional Docu,Daily Close-up,人物/博客,情感纪录,一天密录,,,,,,,,,,,,,,,,,,,,,,,
,자동차/교통,시승기,전기차 시승,Autos & Vehicles,Test Drive,EV Review,汽车/交通,试驾,电动车测评,,,,,,,,,,,,,,,,,,,,,,,
,자동차/교통,튜닝,오토바이 튜닝,Autos & Vehicles,Tuning,Motorcycle Tuning,汽车/交通,改装,摩托车改装,,,,,,,,,,,,,,,,,,,,,,,
,자동차/교통,교통 이슈,블랙박스 사고,Autos & Vehicles,Traffic Issues,Dashcam Accident,汽车/交通,交通问题,行车记录仪事故,,,,,,,,,,,,,,,,,,,,,,,
,자동차/교통,정비/관리,엔진오일 교체,Autos & Vehicles,Maintenance,Engine Oil Change,汽车/交通,维修保养,更换机油,,,,,,,,,,,,,,,,,,,,,,,
,자동차/교통,레트로,올드카 소개,Autos & Vehicles,Retro,Classic Cars,汽车/交通,复古,老爷车介绍,,,,,,,,,,,,,,,,,,,,,,,
,코미디,밈/짤,틱톡 밈,Comedy,Memes,TikTok Memes,喜剧,表情包,抖音梗,,,,,,,,,,,,,,,,,,,,,,,
,코미디,상황극,회사생활 패러디,Comedy,Situational Skits,Office Parody,喜剧,情景剧,职场恶搞,,,,,,,,,,,,,,,,,,,,,,,
,코미디,장난카메라,몰카 반응,Comedy,Pranks,Hidden Camera Reactions,喜剧,恶作剧,偷拍反应,,,,,,,,,,,,,,,,,,,,,,,
,코미디,연기 챌린지,성대모사,Comedy,Acting Challenge,Voice Imitation,喜剧,表演挑战,模仿秀,,,,,,,,,,,,,,,,,,,,,,,
,코미디,유머 해설,댓글 읽기,Comedy,Humor Commentary,Reading Comments,喜剧,幽默解析,读评论,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
