,,,,,,,,,,,,,,,,,,,
,틱톡 대중소 카테고리,,,,,,,,,,틱톡 소카테고리 세부 키워드,,,,,,,,
,대카테고리(KOR),중카테고리(KOR),소카테고리(KOR),Main Category (EN),Sub Category (EN),Micro Topic (EN),主分类(中文),中分类(中文),小主题(中文),,대카테고리(KOR),중카테고리(KOR),소카테고리(KOR),테마(KOR),세부키워드(KOR),Micro Keyword (EN),细分关键词(中文),,
,엔터테인먼트,댄스,K-POP 커버댄스,Entertainment,Dance,K-POP Cover Dance,娱乐,舞蹈,K-POP 翻跳,,재능,공예,종이접기,장난감,종이 팝퍼(딱총),Paper Popper,纸响炮,,
,엔터테인먼트,밈·유머,리액션 밈,Entertainment,Meme & Humor,Reaction Meme,娱乐,搞笑,表情包,,재능,공예,종이접기,장난감,종이 부메랑 비행기,Paper Boomerang Plane,回旋纸飞机,,
,엔터테인먼트,챌린지,해시태그 챌린지,Entertainment,Challenge,Hashtag Challenge,娱乐,挑战,挑战话题,,재능,공예,종이접기,장난감,변형 수리검,Transforming Ninja Star,变形忍者镖,,
,엔터테인먼트,게임,게임 하이라이트,Entertainment,Gaming,Game Highlight,娱乐,游戏,游戏集锦,,재능,공예,종이접기,장난감,종이 핑거 스피너,Paper Fidget Spinner,纸指尖陀螺,,
,엔터테인먼트,드라마·영화,영화 패러디,Entertainment,Drama & Movie,Movie Parody,娱乐,影视,电影恶搞,,재능,공예,종이접기,장난감,손가락 종이 발톱,Paper Claw,纸爪,,
,뷰티 및 스타일,패션,데일리룩,Beauty & Style,Fashion,Daily Look,美妆与时尚,时尚,日常穿搭,,재능,공예,종이접기,장난감,움직이는 종이 손(관절),Articulated Paper Hand,关节纸手,,
,뷰티 및 스타일,뷰티,뷰티팁,Beauty & Style,Beauty,Beauty Tips,美妆与时尚,美妆,美妆技巧,,재능,공예,종이접기,장난감,점핑 개구리 레이싱,Jumping Frog Race,跳跳青蛙赛道,,
,뷰티 및 스타일,그루밍,남성 피부관리,Beauty & Style,Grooming,Men Skincare,美妆与时尚,男士护理,男士护肤,,재능,공예,종이접기,장난감,종이 팽이,Paper Spinning Top,纸陀螺,,
,뷰티 및 스타일,네일,네일 아트,Beauty & Style,Nail,Nail Art,美妆与时尚,美甲,美甲设计,,재능,공예,종이접기,장난감,날개 퍼덕 새,Flapping Bird,拍翅小鸟,,
,뷰티 및 스타일,헤어스타일,헤어 튜토리얼,Beauty & Style,Hairstyle,Hair Tutorial,美妆与时尚,发型,发型教程,,재능,공예,종이접기,장난감,아코디언 뱀,Accordion Snake,手风琴纸蛇,,
,퍼포먼스,음악,커버송,Performance,Music,Cover Song,表演,音乐,翻唱歌曲,,재능,공예,종이접기,장난감,물폭탄 풍선,Water Bomb Balloon,纸水炸弹,,
,퍼포먼스,보컬,라이브 공연,Performance,Vocal,Live Singing,表演,声乐,现场演唱,,재능,공예,종이접기,장난감,종이 스프링 토이,Paper Spring Toy,纸弹簧玩具,,
,퍼포먼스,악기연주,피아노 커버,Performance,Instrument,Piano Cover,表演,乐器,钢琴演奏,,재능,공예,종이접기,장난감,헥사플렉사곤,Flexagon (Hexaflexagon),六变形折纸,,
,퍼포먼스,연기,1인극,Performance,Acting,Monodrama,表演,表演,独角戏,,재능,공예,종이접기,장난감,종이 스냅퍼(딱딱이),Paper Snapper,纸响夹,,
,퍼포먼스,퍼포먼스 아트,드로잉 쇼,Performance,Performance Art,Drawing Show,表演,行为艺术,现场绘画,,재능,공예,종이접기,장난감,포춘 텔러 게임,Fortune Teller (Cootie Catcher),纸占卜,,
,스포츠 및 아웃도어,피트니스,헬스 루틴,Sports & Outdoor,Fitness,Workout Routine,运动与户外,健身,健身计划,,,,,,,,,,
